DEBUG:[2021-06-02 19:19:25,950] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 19:19:25,950] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 19:19:25,952] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 19:19:25,954] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 19:19:25,955] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 19:19:27,503] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 19:19:27,507] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 19:20:59,545] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 19:20:59,547] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 19:20:59,550] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 19:20:59,551] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 19:20:59,552] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 19:21:00,932] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 19:21:00,944] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 19:22:40,697] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 19:22:40,698] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 19:22:40,699] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 19:22:40,701] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 19:22:40,702] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 19:22:41,872] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 19:22:41,873] LoggerInterceptor.java:47 - ____________________end_____________________
WARN :[2021-06-02 19:23:59,595] DispatcherServlet.java:1248 - No mapping for GET /spring/menus
DEBUG:[2021-06-02 19:32:52,832] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 19:32:52,832] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 19:32:52,834] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 19:32:52,836] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 19:32:52,837] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 19:32:54,326] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 19:32:54,327] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 19:35:51,230] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 19:35:51,231] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 19:35:51,232] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 19:35:51,233] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 19:35:51,234] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 19:35:51,284] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 19:35:51,286] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 19:46:24,748] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 19:46:24,749] LoggerInterceptor.java:21 - /spring/resources/images/logo-spring.png
DEBUG:[2021-06-02 19:46:24,750] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 19:46:24,993] LoggerInterceptor.java:35 - --------------------------------------------
